label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161
a,0.5950545072555542,0.47013962268829346,-0.0883852019906044,0.4035733640193939,0.45652228593826294,-0.0937085896730423,0.6037956476211548,0.7518430352210999,0.0881253108382225,0.30927374958992004,0.6666758060455322,-0.3536190092563629,0.601819634437561,0.9670352339744568,0.1474887877702713,0.29020386934280396,0.3920530080795288,-0.768343985080719,0.6031555533409119,1.0198743343353271,0.14933396875858307,0.2804220914840698,0.3245834708213806,-0.8591376543045044,0.5916739106178284,1.0245585441589355,0.10093791782855988,0.292988121509552,0.30752259492874146,-0.84698885679245,0.5852652788162231,0.9974281191825867,0.13299202919006348,0.29892468452453613,0.3312159776687622,-0.7771114706993103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28499454259872437,0.3778734505176544,-1.6351860665508866e-07,0.3046451807022095,0.3497946262359619,-0.0031164539977908134,0.31750357151031494,0.31938543915748596,-0.003408985212445259,0.3212043344974518,0.28450101613998413,-0.004473421722650528,0.32303640246391296,0.2588285803794861,-0.003955245949327946,0.3091961741447449,0.29024675488471985,0.005628342740237713,0.30628612637519836,0.26640817523002625,-0.0034368569031357765,0.30394211411476135,0.294169157743454,-0.008306451141834259,0.3041968047618866,0.31154385209083557,-0.009557249024510384,0.29608461260795593,0.29067033529281616,0.005149394739419222,0.29341310262680054,0.2677479684352875,-0.006474704016000032,0.2938142716884613,0.30182021856307983,-0.010163693688809872,0.29568544030189514,0.31659185886383057,-0.009702987037599087,0.28435730934143066,0.29551127552986145,0.0033429020550101995,0.2817223072052002,0.27277180552482605,-0.00786744337528944,0.28375208377838135,0.3064659833908081,-0.004630733281373978,0.2861377000808716,0.32296523451805115,0.0010786160128191113,0.27269473671913147,0.303812712430954,0.0014045777497813106,0.27177321910858154,0.28297439217567444,-0.0047491490840911865,0.2749769389629364,0.3072860836982727,-0.0008890468161553144,0.2772221863269806,0.3205675184726715,0.004400300327688456
a,0.5950545072555542,0.47013962268829346,-0.0883852019906044,0.4035733640193939,0.45652228593826294,-0.0937085896730423,0.6037956476211548,0.7518430352210999,0.0881253108382225,0.30927374958992004,0.6666758060455322,-0.3536190092563629,0.601819634437561,0.9670352339744568,0.1474887877702713,0.29020386934280396,0.3920530080795288,-0.768343985080719,0.6031555533409119,1.0198743343353271,0.14933396875858307,0.2804220914840698,0.3245834708213806,-0.8591376543045044,0.5916739106178284,1.0245585441589355,0.10093791782855988,0.292988121509552,0.30752259492874146,-0.84698885679245,0.5852652788162231,0.9974281191825867,0.13299202919006348,0.29892468452453613,0.3312159776687622,-0.7771114706993103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284464031457901,0.37419795989990234,-1.2567622320602823e-07,0.3055151402950287,0.34839147329330444,-0.003384547308087349,0.31810691952705383,0.31708964705467224,-0.0033358032815158367,0.32124167680740356,0.2821960747241974,-0.0036754943430423737,0.3236097991466522,0.25778383016586304,-0.0023353327997028828,0.3089311122894287,0.2900758385658264,0.0044488077983260155,0.30720794200897217,0.2669452726840973,-0.0034319795668125153,0.304883748292923,0.2953775227069855,-0.00738842599093914,0.3042892813682556,0.31217730045318604,-0.00826046522706747,0.2958262264728546,0.28954625129699707,0.00430777482688427,0.2940181493759155,0.26640626788139343,-0.006606179289519787,0.2945186495780945,0.3013317286968231,-0.010098705068230629,0.29570043087005615,0.3174479901790619,-0.009572004899382591,0.2843020558357239,0.2943980395793915,0.0030696731992065907,0.2826123535633087,0.2724011540412903,-0.007105605211108923,0.2849104106426239,0.30529406666755676,-0.0038032697048038244,0.2864706218242645,0.32121753692626953,0.001713649369776249,0.27245351672172546,0.3028118312358856,0.0016958203632384539,0.27212464809417725,0.2822689116001129,-0.003581865457817912,0.2753489911556244,0.30565959215164185,0.0004482540243770927,0.276930570602417,0.3178635537624359,0.005642916541546583
a,0.5956236720085144,0.47043532133102417,-0.06256170570850372,0.4037221074104309,0.4549669027328491,-0.06944327801465988,0.6097521185874939,0.7635092735290527,0.12152935564517975,0.31346574425697327,0.6710166931152344,-0.32338500022888184,0.6121211647987366,0.9889047145843506,0.19907361268997192,0.28774237632751465,0.3918401598930359,-0.7251601219177246,0.612281084060669,1.0428391695022583,0.2054443359375,0.27940261363983154,0.3221433758735657,-0.8124361038208008,0.6032983064651489,1.047856092453003,0.1585955172777176,0.29336780309677124,0.3067835569381714,-0.8010237812995911,0.5977345705032349,1.021247386932373,0.1855093538761139,0.29876503348350525,0.33222055435180664,-0.7342228293418884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2830374836921692,0.37425506114959717,-1.2221624956509913e-07,0.3040207624435425,0.34847816824913025,-0.0035336881410330534,0.3167179226875305,0.31783825159072876,-0.003567225532606244,0.3194539546966553,0.28253015875816345,-0.003792440053075552,0.3220873475074768,0.25806984305381775,-0.002131194109097123,0.30741581320762634,0.29210782051086426,0.004177513998001814,0.30576109886169434,0.26813486218452454,-0.0038223345763981342,0.3034966289997101,0.29604026675224304,-0.007712705060839653,0.30295172333717346,0.3121102452278137,-0.008526929654181004,0.2945508062839508,0.29074540734291077,0.004248279612511396,0.29219383001327515,0.26688164472579956,-0.0068127126432955265,0.2927621603012085,0.30191850662231445,-0.010215746238827705,0.29406610131263733,0.31732454895973206,-0.009658596478402615,0.28309544920921326,0.29509732127189636,0.0032493972685188055,0.2808946669101715,0.2726535201072693,-0.007069630082696676,0.2831398546695709,0.30544313788414,-0.003582156728953123,0.2849321961402893,0.32104921340942383,0.002029968658462167,0.2713363468647003,0.3029367923736572,0.002121462719514966,0.2699741721153259,0.2834570109844208,-0.003298601834103465,0.2736645042896271,0.30672335624694824,0.0006099352613091469,0.2757954001426697,0.31826385855674744,0.005698913708329201
a,0.5956236720085144,0.47043532133102417,-0.06256170570850372,0.4037221074104309,0.4549669027328491,-0.06944327801465988,0.6097521185874939,0.7635092735290527,0.12152935564517975,0.31346574425697327,0.6710166931152344,-0.32338500022888184,0.6121211647987366,0.9889047145843506,0.19907361268997192,0.28774237632751465,0.3918401598930359,-0.7251601219177246,0.612281084060669,1.0428391695022583,0.2054443359375,0.27940261363983154,0.3221433758735657,-0.8124361038208008,0.6032983064651489,1.047856092453003,0.1585955172777176,0.29336780309677124,0.3067835569381714,-0.8010237812995911,0.5977345705032349,1.021247386932373,0.1855093538761139,0.29876503348350525,0.33222055435180664,-0.7342228293418884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28305453062057495,0.3734813928604126,-1.209003102076167e-07,0.3038822114467621,0.35006141662597656,-0.0038509699515998363,0.31651607155799866,0.31832170486450195,-0.003994219470769167,0.3196951746940613,0.28334856033325195,-0.004361155442893505,0.3216265141963959,0.2584201693534851,-0.003181849606335163,0.3067849576473236,0.29156678915023804,0.0031984737142920494,0.30518293380737305,0.267757773399353,-0.00468615023419261,0.3031751215457916,0.29564622044563293,-0.008453786373138428,0.30262789130210876,0.3128892481327057,-0.009135231375694275,0.294095903635025,0.2905038893222809,0.0032104169949889183,0.2921740710735321,0.2664848566055298,-0.007124332245439291,0.29274994134902954,0.3008463382720947,-0.010017565451562405,0.2938217520713806,0.3174457848072052,-0.009122788906097412,0.282626748085022,0.2949052155017853,0.002079133177176118,0.2808210551738739,0.27234169840812683,-0.007984355092048645,0.2831774353981018,0.3053246736526489,-0.004651426337659359,0.2847168445587158,0.32156479358673096,0.0008681670879013836,0.2706875503063202,0.3028872609138489,0.0007926205871626735,0.2701244056224823,0.2827444076538086,-0.0048144422471523285,0.2734711766242981,0.30595862865448,-0.001069917343556881,0.2751726508140564,0.318354070186615,0.0039369771257042885
a,0.5940614342689514,0.47156625986099243,-0.09119254350662231,0.40011686086654663,0.4575895667076111,-0.07796832174062729,0.6035025119781494,0.7624905705451965,0.06843354552984238,0.3105033338069916,0.6692648530006409,-0.32137417793273926,0.602333664894104,0.9808684587478638,0.12437321245670319,0.2877797484397888,0.3893163800239563,-0.7154373526573181,0.6024309992790222,1.0293458700180054,0.12636351585388184,0.2778422236442566,0.32161378860473633,-0.8013574481010437,0.5938530564308167,1.034676194190979,0.08025120198726654,0.2923682928085327,0.30728334188461304,-0.7906457781791687,0.5882484316825867,1.0085288286209106,0.11035504192113876,0.29820582270622253,0.3310263156890869,-0.7246279716491699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818923592567444,0.3752816915512085,-1.2719426933927025e-07,0.30265724658966064,0.3517913222312927,-0.004092021379619837,0.31533414125442505,0.3195016384124756,-0.004119575023651123,0.3182585835456848,0.28410789370536804,-0.004252926912158728,0.32029426097869873,0.2592161297798157,-0.0027274482417851686,0.3064601421356201,0.293547123670578,0.003356973174959421,0.30435022711753845,0.2701052129268646,-0.004668218083679676,0.3019218444824219,0.2976354658603668,-0.008589236997067928,0.30162930488586426,0.31428104639053345,-0.009423480369150639,0.2935154139995575,0.292705237865448,0.0035174963995814323,0.290799617767334,0.2683292627334595,-0.00687176501378417,0.2912314534187317,0.3025762736797333,-0.009618256241083145,0.29276204109191895,0.31893303990364075,-0.008564279414713383,0.28196996450424194,0.29677778482437134,0.002413826296105981,0.27934107184410095,0.27376630902290344,-0.00785557460039854,0.28162676095962524,0.30679354071617126,-0.004645140841603279,0.2836166322231293,0.32294604182243347,0.0008303480572067201,0.27023276686668396,0.30433475971221924,0.0011265415232628584,0.2689538896083832,0.2849840819835663,-0.004806862212717533,0.27214381098747253,0.3084426820278168,-0.0013950049178674817,0.27428165078163147,0.3207995891571045,0.0034161407966166735
a,0.5940614342689514,0.47156625986099243,-0.09119254350662231,0.40011686086654663,0.4575895667076111,-0.07796832174062729,0.6035025119781494,0.7624905705451965,0.06843354552984238,0.3105033338069916,0.6692648530006409,-0.32137417793273926,0.602333664894104,0.9808684587478638,0.12437321245670319,0.2877797484397888,0.3893163800239563,-0.7154373526573181,0.6024309992790222,1.0293458700180054,0.12636351585388184,0.2778422236442566,0.32161378860473633,-0.8013574481010437,0.5938530564308167,1.034676194190979,0.08025120198726654,0.2923682928085327,0.30728334188461304,-0.7906457781791687,0.5882484316825867,1.0085288286209106,0.11035504192113876,0.29820582270622253,0.3310263156890869,-0.7246279716491699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2819666266441345,0.37472647428512573,-1.193474048477583e-07,0.3030474781990051,0.3507527709007263,-0.003319693496450782,0.3157495856285095,0.31965065002441406,-0.0032477383501827717,0.3187601566314697,0.2848033010959625,-0.003472789190709591,0.32073524594306946,0.260204017162323,-0.0021889794152230024,0.30559220910072327,0.2931092381477356,0.0038419885095208883,0.3041127622127533,0.2699972987174988,-0.003833630820736289,0.30194228887557983,0.2974396347999573,-0.007701918017119169,0.3014124035835266,0.3150657117366791,-0.008538537658751011,0.29287490248680115,0.2921283543109894,0.003679170273244381,0.29111841320991516,0.2684366703033447,-0.0065573034808039665,0.2915583848953247,0.3026433289051056,-0.009670861065387726,0.2927122414112091,0.31987160444259644,-0.008991409093141556,0.28141140937805176,0.29667091369628906,0.002449407009407878,0.2797016203403473,0.27394571900367737,-0.007425704039633274,0.2819829285144806,0.3066992163658142,-0.004118862096220255,0.2836044430732727,0.32345134019851685,0.0012956081191077828,0.26961469650268555,0.3050859272480011,0.0011057807132601738,0.26901522278785706,0.28519248962402344,-0.0043825809843838215,0.272466242313385,0.30839163064956665,-0.0005978255067020655,0.2743559777736664,0.32086464762687683,0.0043926904909312725
a,0.6002373099327087,0.47409728169441223,-0.0799018070101738,0.406433641910553,0.4527546763420105,-0.07380609959363937,0.6076535582542419,0.7593039870262146,0.07381751388311386,0.31323230266571045,0.6660723686218262,-0.33851516246795654,0.6167552471160889,0.9693883061408997,0.12007985264062881,0.2933833599090576,0.39423543214797974,-0.7648773789405823,0.6186165809631348,1.0276256799697876,0.11931516230106354,0.2821028232574463,0.3257700800895691,-0.856960654258728,0.614804208278656,1.030667781829834,0.07167753577232361,0.2965068221092224,0.3099740147590637,-0.8468024134635925,0.6087064743041992,1.0038870573043823,0.10482460260391235,0.3025364279747009,0.3339671492576599,-0.775288999080658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2881099581718445,0.36939099431037903,-1.3007361587824562e-07,0.307553231716156,0.3519017696380615,-0.0055310470052063465,0.32113268971443176,0.31781190633773804,-0.00582797359675169,0.32299506664276123,0.28097039461135864,-0.005981006193906069,0.3251686692237854,0.25666913390159607,-0.004734233487397432,0.31169185042381287,0.2895514965057373,0.0014632469974458218,0.31053632497787476,0.2658316493034363,-0.006389780901372433,0.30792638659477234,0.2927182912826538,-0.009826473891735077,0.30790433287620544,0.30826252698898315,-0.010532042942941189,0.2989634871482849,0.2897491753101349,0.002064104424789548,0.29694080352783203,0.26470616459846497,-0.007804569788277149,0.29669708013534546,0.29873454570770264,-0.009595580399036407,0.2979484498500824,0.314838171005249,-0.007942859083414078,0.2874849736690521,0.29403793811798096,0.0012126300716772676,0.2852150499820709,0.2721908688545227,-0.009704102762043476,0.28715527057647705,0.30583423376083374,-0.0064354040659964085,0.28910109400749207,0.3220897316932678,-0.0008003731491044164,0.2755008637905121,0.30122843384742737,0.00013534761092159897,0.27493658661842346,0.2820296883583069,-0.006818732246756554,0.27763503789901733,0.3064379096031189,-0.00360910315066576,0.27954772114753723,0.31956997513771057,0.0011471555335447192
a,0.6002373099327087,0.47409728169441223,-0.0799018070101738,0.406433641910553,0.4527546763420105,-0.07380609959363937,0.6076535582542419,0.7593039870262146,0.07381751388311386,0.31323230266571045,0.6660723686218262,-0.33851516246795654,0.6167552471160889,0.9693883061408997,0.12007985264062881,0.2933833599090576,0.39423543214797974,-0.7648773789405823,0.6186165809631348,1.0276256799697876,0.11931516230106354,0.2821028232574463,0.3257700800895691,-0.856960654258728,0.614804208278656,1.030667781829834,0.07167753577232361,0.2965068221092224,0.3099740147590637,-0.8468024134635925,0.6087064743041992,1.0038870573043823,0.10482460260391235,0.3025364279747009,0.3339671492576599,-0.775288999080658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28706055879592896,0.37105005979537964,-1.298724328080425e-07,0.30775442719459534,0.3495110273361206,-0.004587308503687382,0.3208285868167877,0.3168156147003174,-0.004697434138506651,0.3234071433544159,0.28095272183418274,-0.004833252169191837,0.3255935311317444,0.2561034560203552,-0.0034165370743721724,0.31172677874565125,0.290839284658432,0.002968559740111232,0.3095478415489197,0.2673201560974121,-0.005229467526078224,0.306966632604599,0.29484590888023376,-0.009083951823413372,0.30661728978157043,0.3119657337665558,-0.009768074378371239,0.2988891303539276,0.2898818552494049,0.0032950774766504765,0.296521931886673,0.2649165987968445,-0.0069963764399290085,0.2966228425502777,0.2993326187133789,-0.009455368854105473,0.29798948764801025,0.3163663446903229,-0.008056791499257088,0.28746044635772705,0.2936943769454956,0.002245442010462284,0.2850736677646637,0.27097561955451965,-0.008262423798441887,0.2870529890060425,0.30452653765678406,-0.005091949366033077,0.28889200091362,0.3207971155643463,0.0005221368628554046,0.27556732296943665,0.3009892702102661,0.0009944256162270904,0.27462223172187805,0.2815445065498352,-0.005153275560587645,0.27742213010787964,0.3053373396396637,-0.0018113581463694572,0.2793036699295044,0.3178733289241791,0.003026129212230444
a,0.5802673697471619,0.46984976530075073,-0.07507862895727158,0.38782986998558044,0.4529757499694824,-0.056213926523923874,0.5899794101715088,0.7573145627975464,0.11335386335849762,0.30222535133361816,0.6746145486831665,-0.30155956745147705,0.5954217314720154,0.9736948609352112,0.2212471216917038,0.27648016810417175,0.3947417736053467,-0.6873559951782227,0.5994189977645874,1.028539776802063,0.23302313685417175,0.26909518241882324,0.3258064389228821,-0.7685426473617554,0.5941669344902039,1.0365188121795654,0.18722301721572876,0.2802440822124481,0.3067185878753662,-0.7564071416854858,0.5878843069076538,1.007948398590088,0.2089112102985382,0.28587424755096436,0.3322650194168091,-0.6957948207855225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27228492498397827,0.3769378960132599,-1.0586136767187782e-07,0.2927628755569458,0.35226455330848694,-0.0046389359049499035,0.3055216670036316,0.32095399498939514,-0.00503128906711936,0.3085111975669861,0.2854774296283722,-0.005591631401330233,0.3110068440437317,0.26011383533477783,-0.004425430670380592,0.2960493862628937,0.2934700846672058,0.005051174201071262,0.29581236839294434,0.2682465612888336,-0.003270597429946065,0.2928330600261688,0.2956256568431854,-0.007811364252120256,0.2920994460582733,0.31324028968811035,-0.00893357489258051,0.28306153416633606,0.2934177815914154,0.005330630578100681,0.28194791078567505,0.2675665020942688,-0.005290834233164787,0.28159430623054504,0.3012315332889557,-0.00884958915412426,0.2827196717262268,0.3178434371948242,-0.00820363312959671,0.2713690400123596,0.2977568209171295,0.0040986789390444756,0.2696551978588104,0.2748663127422333,-0.006435486953705549,0.27177196741104126,0.3071829080581665,-0.003999259788542986,0.2738054394721985,0.3243626654148102,0.0012200839119032025,0.2596057057380676,0.3049146831035614,0.0026178769767284393,0.25913700461387634,0.28482216596603394,-0.0035100842360407114,0.26235970854759216,0.30789753794670105,-0.00034837968996725976,0.26466935873031616,0.32142722606658936,0.0044991690665483475
a,0.5802673697471619,0.46984976530075073,-0.07507862895727158,0.38782986998558044,0.4529757499694824,-0.056213926523923874,0.5899794101715088,0.7573145627975464,0.11335386335849762,0.30222535133361816,0.6746145486831665,-0.30155956745147705,0.5954217314720154,0.9736948609352112,0.2212471216917038,0.27648016810417175,0.3947417736053467,-0.6873559951782227,0.5994189977645874,1.028539776802063,0.23302313685417175,0.26909518241882324,0.3258064389228821,-0.7685426473617554,0.5941669344902039,1.0365188121795654,0.18722301721572876,0.2802440822124481,0.3067185878753662,-0.7564071416854858,0.5878843069076538,1.007948398590088,0.2089112102985382,0.28587424755096436,0.3322650194168091,-0.6957948207855225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271915465593338,0.3768114745616913,-1.180526112420921e-07,0.2933879494667053,0.3496493697166443,-0.0028769609052687883,0.30520355701446533,0.31943750381469727,-0.002679998055100441,0.3082308769226074,0.2843923270702362,-0.0030264616943895817,0.3106094002723694,0.2596275210380554,-0.0016526642721146345,0.29550039768218994,0.29226741194725037,0.006246290169656277,0.29424774646759033,0.2692486047744751,-0.001689501921646297,0.2921336889266968,0.29721516370773315,-0.005984385032206774,0.2913278043270111,0.3151296079158783,-0.007002396509051323,0.28272637724876404,0.2912707030773163,0.005978086963295937,0.28098824620246887,0.26778921484947205,-0.004945369902998209,0.2814106345176697,0.30277085304260254,-0.008880156092345715,0.2823083996772766,0.31973206996917725,-0.008612952195107937,0.2709982395172119,0.29621070623397827,0.004585672169923782,0.26948168873786926,0.27369382977485657,-0.005686416756361723,0.271719753742218,0.3067486882209778,-0.0025294197257608175,0.2730536162853241,0.32343146204948425,0.0029725893400609493,0.25882411003112793,0.30491966009140015,0.003109330777078867,0.25829434394836426,0.28439441323280334,-0.0022624037228524685,0.2618766129016876,0.30798617005348206,0.0017683765618130565,0.2637319564819336,0.3203141391277313,0.007035842631012201
